Resonance Energy (eV),Resonance Spin,Total Width (eV),Gamma-N (eV),Gamma-N-Nought (eV),Gamma-Gamma (eV),Gamma-F (eV)
1.93E+01,3.50E+00,9.82E-02,3.19E-03,7.27E-04,3.48E-02,6.02E-02
2.01E+01,3.50E+00,2.40E-01,8.77E-05,1.96E-05,1.39E-02,2.26E-02
2.02E+01,3.50E+00,5.00E-02,1.30E-05,2.90E-06,4.93E-02,7.20E-04
2.06E+01,3.50E+00,8.42E-02,1.91E-04,4.21E-05,4.05E-02,4.35E-02
2.11E+01,3.50E+00,7.35E-02,1.50E-03,3.27E-04,4.03E-02,3.17E-02
2.29E+01,3.50E+00,7.54E-02,4.36E-04,9.10E-05,3.27E-02,4.23E-02
2.34E+01,3.50E+00,3.22E-02,7.04E-04,1.45E-04,2.65E-02,5.00E-03
2.36E+01,3.50E+00,2.26E-01,8.56E-04,1.76E-04,4.30E-02,1.82E-01
2.42E+01,3.50E+00,5.83E-02,2.68E-04,5.45E-05,3.10E-02,2.70E-02
2.44E+01,3.50E+00,1.00E-01,1.50E-04,3.03E-05,3.50E-02,6.50E-02
2.52E+01,3.50E+00,8.51E-01,6.76E-04,1.35E-04,2.50E-02,8.25E-01
2.56E+01,3.50E+00,3.86E-01,5.65E-04,1.12E-04,2.50E-02,3.60E-01
2.65E+01,3.50E+00,1.92E-01,4.76E-04,9.25E-05,3.20E-02,1.60E-01
2.67E+01,3.50E+00,2.50E-01,8.57E-05,1.66E-05,3.00E-02,2.20E-01
2.71E+01,3.50E+00,1.16E-01,8.51E-05,1.63E-05,4.20E-02,7.35E-02
2.78E+01,3.50E+00,1.21E-01,6.74E-04,1.28E-04,3.20E-02,8.80E-02
2.81E+01,3.50E+00,6.50E-02,3.12E-05,5.88E-06,4.00E-02,2.50E-02
2.84E+01,3.50E+00,1.49E-01,1.89E-04,3.54E-05,3.17E-01,1.17E-01
